City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Husavik,IS,2021-01-27 21:07:40,66.0449,-17.3389,19.4,86,75,8.25
1,Lompoc,US,2021-01-27 20:54:10,34.6391,-120.4579,51.8,93,90,13.8
2,Weiser,US,2021-01-27 21:08:32,44.251,-116.9693,46.4,53,75,24.16
3,Ushuaia,AR,2021-01-27 21:08:33,-54.8,-68.3,41.0,87,75,24.16
4,Hofn,IS,2021-01-27 21:08:05,64.2539,-15.2082,25.77,89,1,14.12
5,Port Alfred,ZA,2021-01-27 21:08:33,-33.5906,26.891,64.99,94,28,1.99
6,Qaanaaq,GL,2021-01-27 21:08:33,77.484,-69.3632,-15.74,65,0,8.37
7,Ust-Kuyga,RU,2021-01-27 21:08:33,70.0167,135.6,-39.48,79,96,1.63
8,Kaitangata,NZ,2021-01-27 21:03:49,-46.2817,169.8464,51.01,82,61,5.99
9,Luganville,VU,2021-01-27 21:08:34,-15.5333,167.1667,76.59,89,100,7.92
10,Rikitea,PF,2021-01-27 21:07:30,-23.1203,-134.9692,79.74,74,85,14.29
11,Butaritari,KI,2021-01-27 21:07:43,3.0707,172.7902,80.56,79,95,10.42
12,Bamiantong,CN,2021-01-27 21:08:35,44.9333,130.5333,-6.25,85,88,1.68
13,Arraial Do Cabo,BR,2021-01-27 21:08:35,-22.9661,-42.0278,84.2,73,0,21.85
14,Sosua,DO,2021-01-27 21:08:35,19.7667,-70.5167,82.4,69,20,16.11
15,Kapaa,US,2021-01-27 21:08:35,22.0752,-159.319,77.0,83,90,18.41
16,Carnarvon,AU,2021-01-27 21:07:50,-24.8667,113.6333,71.6,78,0,17.27
17,Hurricane,US,2021-01-27 21:08:35,37.1753,-113.2899,42.8,49,90,16.11
18,Hobart,AU,2021-01-27 21:04:36,-42.8794,147.3294,57.0,54,75,5.75
19,Porangatu,BR,2021-01-27 21:08:36,-13.4408,-49.1486,80.22,81,91,2.93
20,Jamestown,US,2021-01-27 21:05:26,42.097,-79.2353,25.0,79,90,7.45
21,Catamarca,AR,2021-01-27 21:05:08,-28.4696,-65.7852,89.01,43,100,1.99
22,Dikson,RU,2021-01-27 21:08:36,73.5069,80.5464,-19.84,86,100,9.86
23,Lavrentiya,RU,2021-01-27 21:08:36,65.5833,-171.0,-2.22,88,98,14.5
24,Springdale,US,2021-01-27 21:05:56,36.1867,-94.1288,30.2,93,90,13.8
25,Cape Town,ZA,2021-01-27 21:06:39,-33.9258,18.4232,66.0,72,0,17.27
26,Kurumkan,RU,2021-01-27 21:08:37,54.3,110.3,-23.31,76,50,2.57
27,Dunedin,NZ,2021-01-27 21:08:37,-45.8742,170.5036,55.99,58,16,20.0
28,Kodiak,US,2021-01-27 21:08:37,57.79,-152.4072,33.8,75,90,1.45
29,Madang,PG,2021-01-27 21:08:37,-5.2246,145.7966,76.46,91,98,6.02
30,Georgetown,MY,2021-01-27 20:57:56,5.4112,100.3354,78.01,94,40,2.3
31,Ilulissat,GL,2021-01-27 21:07:31,69.2167,-51.1,8.6,56,0,3.44
32,Cherskiy,RU,2021-01-27 21:07:40,68.75,161.3,-22.86,85,100,3.27
33,Nanortalik,GL,2021-01-27 21:07:05,60.1432,-45.2371,25.48,90,100,3.13
34,Hay River,CA,2021-01-27 21:08:38,60.8156,-115.7999,-11.2,70,100,8.05
35,Quarai,BR,2021-01-27 21:08:38,-30.3875,-56.4514,86.65,46,19,10.4
36,Sola,VU,2021-01-27 21:08:38,-13.8833,167.55,82.17,82,100,19.19
37,Puerto Ayora,EC,2021-01-27 21:07:09,-0.7393,-90.3518,86.0,62,20,20.71
38,Sitka,US,2021-01-27 21:08:39,57.0531,-135.33,28.4,40,1,9.22
39,Port Hedland,AU,2021-01-27 21:08:39,-20.3167,118.5667,80.6,78,0,9.22
40,Ivanjica,RS,2021-01-27 21:08:39,43.5803,20.2311,30.2,100,90,3.44
41,Torbay,CA,2021-01-27 21:08:39,47.6666,-52.7314,28.0,86,75,9.22
42,Slave Lake,CA,2021-01-27 21:08:39,55.2834,-114.769,3.2,78,90,2.3
43,Alice Springs,AU,2021-01-27 21:08:39,-23.7,133.8833,73.99,78,23,6.91
44,Hilo,US,2021-01-27 21:07:28,19.7297,-155.09,73.4,83,90,6.26
45,Broome,US,2021-01-27 21:03:47,42.2506,-75.833,27.0,80,90,10.36
46,Port Elizabeth,ZA,2021-01-27 21:07:03,-33.918,25.5701,66.2,77,90,9.22
47,Nanzhang,CN,2021-01-27 21:08:40,31.7765,111.8386,42.53,56,18,5.79
48,Vila Franca Do Campo,PT,2021-01-27 21:08:40,37.7167,-25.4333,64.0,94,40,20.71
49,Alofi,NU,2021-01-27 21:07:44,-19.0595,-169.9187,80.6,83,90,10.36
50,Yellowknife,CA,2021-01-27 21:07:41,62.456,-114.3525,-9.0,70,90,2.3
51,Beloha,MG,2021-01-27 21:07:10,-25.1667,45.05,76.84,80,5,12.1
52,White Rock,CA,2021-01-27 21:07:15,49.0164,-122.8026,37.99,99,100,1.01
53,Bambous Virieux,MU,2021-01-27 20:58:57,-20.3428,57.7575,78.01,83,40,4.61
54,Mar Del Plata,AR,2021-01-27 21:04:12,-38.0023,-57.5575,69.8,52,0,11.5
55,Japura,ID,2021-01-27 21:08:41,-0.3167,102.35,72.27,96,100,0.67
56,Biak,ID,2021-01-27 21:08:17,-0.9131,122.8766,77.13,73,98,4.74
57,Punta Arenas,CL,2021-01-27 20:58:57,-53.15,-70.9167,48.2,61,75,21.85
58,Barrow,US,2021-01-27 21:07:36,71.2906,-156.7887,-11.2,70,90,6.91
59,Busselton,AU,2021-01-27 21:07:33,-33.65,115.3333,48.99,84,0,1.99
60,Ordynskoye,RU,2021-01-27 21:08:41,54.3656,81.8994,22.17,97,99,8.93
61,Mount Isa,AU,2021-01-27 21:08:08,-20.7333,139.5,80.6,69,0,6.91
62,Palu,ID,2021-01-27 21:08:42,-0.8917,119.8707,75.04,82,99,2.33
63,Pisco,PE,2021-01-27 21:07:54,-13.7,-76.2167,77.0,61,0,10.36
64,Kirakira,SB,2021-01-27 21:08:42,-10.4544,161.9205,83.07,79,75,11.56
65,Khatanga,RU,2021-01-27 21:08:42,71.9667,102.5,-30.1,80,0,7.16
66,Kruisfontein,ZA,2021-01-27 21:08:42,-34.0033,24.7314,64.99,82,97,6.93
67,Kaduqli,SD,2021-01-27 21:08:43,11.0167,29.7167,78.03,18,61,9.37
68,Lebu,CL,2021-01-27 21:07:00,-37.6167,-73.65,61.23,70,100,11.77
69,Sao Filipe,CV,2021-01-27 21:03:50,14.8961,-24.4956,74.28,68,0,4.92
70,Porto Seguro,BR,2021-01-27 21:05:41,-16.4497,-39.0647,78.8,69,20,8.05
71,Leningradskiy,RU,2021-01-27 20:58:56,69.3833,178.4167,-17.14,87,100,3.76
72,Atuona,PF,2021-01-27 21:08:43,-9.8,-139.0333,78.35,78,1,15.57
73,Marawi,PH,2021-01-27 21:08:43,7.9986,124.2928,71.01,89,100,5.01
74,Santa Isabel Do Rio Negro,BR,2021-01-27 21:08:44,-0.4139,-65.0192,87.3,60,91,3.09
75,Goulburn,AU,2021-01-27 21:08:44,-34.75,149.7167,61.0,94,99,16.04
76,Karpogory,RU,2021-01-27 21:08:44,64.0019,44.4451,25.0,99,100,3.47
77,Kuala Terengganu,MY,2021-01-27 21:08:44,5.3302,103.1408,78.8,89,40,6.91
78,Nome,US,2021-01-27 21:08:44,64.5011,-165.4064,15.8,67,90,11.5
79,Zhigansk,RU,2021-01-27 21:08:44,66.7697,123.3711,-48.87,76,57,5.61
80,Bengkulu,ID,2021-01-27 21:08:44,-3.8004,102.2655,74.66,93,100,7.76
81,Saskylakh,RU,2021-01-27 21:08:45,71.9167,114.0833,-41.51,80,89,1.48
82,Saint-Philippe,RE,2021-01-27 21:07:52,-21.3585,55.7679,78.8,65,0,4.61
83,Khrebtovaya,RU,2021-01-27 21:08:45,56.7032,104.2494,-17.63,84,100,8.14
84,Tasiilaq,GL,2021-01-27 21:08:45,65.6145,-37.6368,21.2,45,75,25.32
85,Mataura,NZ,2021-01-27 21:08:45,-46.1927,168.8643,50.0,90,90,14.0
86,Santa Cruz,BO,2021-01-27 21:08:45,-17.8,-63.1667,75.2,94,75,2.3
87,Codrington,AU,2021-01-27 21:08:45,-38.2667,141.9667,60.28,81,50,12.62
88,Emba,KZ,2021-01-27 21:08:39,48.8264,58.1442,14.97,93,0,12.26
89,Lovozero,RU,2021-01-27 21:08:46,68.005,35.0117,6.71,94,100,5.28
90,Hermanus,ZA,2021-01-27 20:58:59,-34.4187,19.2345,60.01,85,12,8.21
91,Oktyabrskoye,RU,2021-01-27 21:08:46,43.0645,44.7417,26.6,100,65,4.47
92,Cayenne,GF,2021-01-27 21:07:31,4.9333,-52.3333,80.6,74,0,5.75
93,Namibe,AO,2021-01-27 21:08:22,-15.1961,12.1522,74.57,78,69,9.17
94,Baruun-Urt,MN,2021-01-27 21:04:06,46.6806,113.2792,-22.07,81,1,8.7
95,Bluff,NZ,2021-01-27 21:07:42,-46.6,168.3333,50.0,90,100,14.0
96,Olafsvik,IS,2021-01-27 21:07:35,64.8945,-23.7142,30.58,87,90,17.52
97,Nemuro,JP,2021-01-27 21:08:47,43.3236,145.575,21.99,88,0,12.35
98,Dombarovskiy,RU,2021-01-27 21:08:47,50.7587,59.5386,16.2,98,82,11.56
99,Plettenberg Bay,ZA,2021-01-27 21:08:47,-34.0527,23.3716,63.93,80,100,3.87
100,Labuhan,ID,2021-01-27 21:08:48,-6.8844,112.2051,77.25,88,100,10.4
101,New Norfolk,AU,2021-01-27 20:58:56,-42.7826,147.0587,55.99,58,99,1.01
102,Sayreville,US,2021-01-27 21:04:46,40.4593,-74.361,36.0,69,32,1.01
103,Castro,BR,2021-01-27 21:08:49,-24.7911,-50.0119,70.45,92,100,7.09
104,Lima Duarte,BR,2021-01-27 21:08:49,-21.8425,-43.7931,80.6,47,20,9.22
105,Chapais,CA,2021-01-27 21:08:49,49.7834,-74.8492,21.2,79,90,5.75
106,San Vicente,AR,2021-01-27 21:08:49,-26.6167,-54.1333,71.19,90,100,5.97
107,College,US,2021-01-27 21:08:49,64.8569,-147.8028,-18.4,69,75,2.1
108,Dubbo,AU,2021-01-27 21:08:49,-32.25,148.6167,71.6,68,28,16.11
109,Pevek,RU,2021-01-27 21:08:49,69.7008,170.3133,-24.29,87,100,3.89
110,Thompson,CA,2021-01-27 21:03:58,55.7435,-97.8558,-11.2,84,40,2.3
111,Urucara,BR,2021-01-27 21:08:50,-2.5364,-57.76,82.6,86,100,0.74
112,Roald,NO,2021-01-27 21:08:50,62.5833,6.1333,30.2,100,75,10.36
113,Bredasdorp,ZA,2021-01-27 21:08:50,-34.5322,20.0403,57.2,67,96,3.44
114,Alappuzha,IN,2021-01-27 21:08:50,9.49,76.3264,73.81,80,87,5.91
115,Bairiki,KI,2021-01-27 21:08:50,1.3292,172.9752,82.4,78,40,12.66
116,Teya,RU,2021-01-27 21:08:50,60.3778,92.6267,-29.24,81,100,1.9
117,Esperance,AU,2021-01-27 21:08:51,-33.8667,121.9,60.8,94,90,5.75
118,Vaini,TO,2021-01-27 21:07:35,-21.2,-175.2,73.4,100,90,10.36
119,Beringovskiy,RU,2021-01-27 21:08:51,63.05,179.3167,16.02,96,100,27.51
120,Victoria,HK,2021-01-27 21:05:50,22.2855,114.1577,63.0,86,3,8.84
121,Ponta Do Sol,PT,2021-01-27 21:08:51,32.6667,-17.1,64.4,88,75,10.36
122,Cape Canaveral,US,2021-01-27 21:05:20,28.4058,-80.6048,84.0,65,76,5.99
123,Kokopo,PG,2021-01-27 21:08:51,-4.352,152.2633,80.29,80,100,6.17
124,Hasaki,JP,2021-01-27 21:07:01,35.7333,140.8333,36.0,80,75,8.05
125,Saint George,US,2021-01-27 21:07:02,37.1041,-113.5841,44.01,49,90,16.11
126,Kizlyar,RU,2021-01-27 21:08:52,43.8469,46.715,45.12,84,100,16.71
127,Truro,GB,2021-01-27 21:07:46,50.2653,-5.0544,51.8,100,90,19.57
128,Longyearbyen,SJ,2021-01-27 21:08:52,78.2186,15.6401,6.8,66,20,16.11
129,Tamayo,DO,2021-01-27 21:08:52,18.3947,-71.2029,84.2,65,20,13.8
130,Lagoa,PT,2021-01-27 21:08:52,39.05,-27.9833,60.37,83,95,30.29
131,Luderitz,NA,2021-01-27 21:07:27,-26.6481,15.1594,67.62,62,0,28.52
132,Pasni,PK,2021-01-27 21:08:53,25.2631,63.471,66.34,32,0,10.69
133,Pontianak,ID,2021-01-27 21:08:53,-0.0333,109.3333,73.4,100,75,3.44
134,Chokurdakh,RU,2021-01-27 21:08:53,70.6333,147.9167,-14.91,89,100,14.0
135,Nadadores,MX,2021-01-27 21:08:53,27.05,-101.6,62.15,30,30,9.4
136,Okhotsk,RU,2021-01-27 21:08:53,59.3833,143.3,-13.72,78,56,10.25
137,Taltal,CL,2021-01-27 21:07:57,-25.4,-70.4833,71.96,62,22,8.46
138,Malanje,AO,2021-01-27 21:08:53,-9.5402,16.341,64.9,94,97,2.77
139,Samarai,PG,2021-01-27 21:08:54,-10.6167,150.6667,79.95,83,100,4.65
140,Flinders,AU,2021-01-27 21:04:08,-34.5833,150.8552,69.01,79,100,4.0
141,East London,ZA,2021-01-27 20:58:57,-33.0153,27.9116,69.75,80,94,13.96
142,Hattiesburg,US,2021-01-27 21:08:13,31.3271,-89.2903,62.6,67,75,14.97
143,Tiksi,RU,2021-01-27 21:07:25,71.6872,128.8694,-39.03,82,89,2.66
144,Kaduna,NG,2021-01-27 21:08:54,10.5222,7.4383,75.67,18,67,7.67
145,High Level,CA,2021-01-27 21:08:54,58.5169,-117.136,-9.4,77,40,12.66
146,Maldonado,UY,2021-01-27 21:08:55,-34.6667,-54.9167,75.0,68,0,11.5
147,Mana,GF,2021-01-27 21:08:55,5.6592,-53.7767,78.58,76,37,10.4
148,Albany,US,2021-01-27 21:07:05,42.6001,-73.9662,30.0,62,91,15.99
149,Sorland,NO,2021-01-27 21:08:47,67.667,12.6934,28.4,69,20,10.36
150,Bethel,US,2021-01-27 21:05:57,41.3712,-73.414,32.0,80,69,1.99
151,Skjervoy,NO,2021-01-27 21:08:55,70.0311,20.9714,26.6,59,40,19.57
152,Mahebourg,MU,2021-01-27 21:08:55,-20.4081,57.7,75.2,83,40,4.61
153,Sambava,MG,2021-01-27 21:08:55,-14.2667,50.1667,78.17,81,18,0.98
154,Souillac,MU,2021-01-27 21:03:56,-20.5167,57.5167,75.2,83,40,4.61
155,Kushima,JP,2021-01-27 21:08:56,31.4583,131.2333,44.01,93,2,4.0
156,Hovd,MN,2021-01-27 21:08:56,48.0056,91.6419,1.31,81,10,0.92
157,Colesberg,ZA,2021-01-27 21:08:56,-30.72,25.0972,56.95,70,17,21.59
158,Wahiawa,US,2021-01-27 21:08:56,21.5028,-158.0236,82.4,54,40,9.22
159,Goderich,CA,2021-01-27 21:08:56,43.7501,-81.7165,23.0,74,100,10.36
160,Bodden Town,KY,2021-01-27 21:08:57,19.2833,-81.25,86.0,51,20,11.5
161,Buraydah,SA,2021-01-27 21:08:57,26.326,43.975,62.6,48,0,10.36
162,Adrar,MR,2021-01-27 21:08:11,20.5022,-10.0711,69.57,21,0,9.95
163,Ploemeur,FR,2021-01-27 21:08:57,47.7333,-3.4333,52.0,100,90,11.5
164,Katsuura,JP,2021-01-27 21:08:57,35.1333,140.3,45.0,65,75,10.36
165,Hualmay,PE,2021-01-27 21:08:04,-11.0964,-77.6139,75.58,68,94,10.83
166,Yar-Sale,RU,2021-01-27 21:08:58,66.8333,70.8333,-39.41,80,85,4.61
167,Maltahohe,NA,2021-01-27 21:08:58,-24.8333,16.9833,74.86,19,2,17.6
168,Rio Gallegos,AR,2021-01-27 21:08:12,-51.6226,-69.2181,55.4,28,40,27.63
169,Maumere,ID,2021-01-27 21:08:58,-8.6199,122.2111,80.13,80,100,12.5
170,Cidreira,BR,2021-01-27 21:07:52,-30.1811,-50.2056,75.47,89,100,9.17
171,Hurghada,EG,2021-01-27 21:07:21,27.2574,33.8129,64.4,68,0,4.61
172,Ngunguru,NZ,2021-01-27 21:08:58,-35.6167,174.5,69.01,82,56,3.0
173,Morant Bay,JM,2021-01-27 21:08:59,17.8815,-76.4093,84.2,70,20,24.16
174,Nikolskoye,RU,2021-01-27 21:07:27,59.7035,30.7861,33.8,93,90,4.47
175,Krasnoselkup,RU,2021-01-27 21:07:44,65.7,82.4667,-38.76,82,20,3.67
176,Kisaran,ID,2021-01-27 21:08:59,2.9845,99.6158,72.37,97,97,1.52
177,Nouadhibou,MR,2021-01-27 21:08:59,20.931,-17.0347,69.8,73,0,11.5
178,Biskamzha,RU,2021-01-27 21:08:59,53.4497,89.5272,17.85,93,100,13.67
179,Kiruna,SE,2021-01-27 21:08:59,67.8557,20.2251,14.0,92,90,4.61
180,Maceio,BR,2021-01-27 21:08:30,-9.6658,-35.7353,77.0,83,75,6.91
181,Pio Xii,BR,2021-01-27 21:09:00,-3.8325,-45.1525,77.59,92,100,2.77
182,Mahibadhoo,MV,2021-01-27 21:09:00,3.7833,72.9667,79.9,70,32,13.56
183,Puerto Colombia,CO,2021-01-27 21:09:00,10.9878,-74.9547,86.0,62,75,10.36
184,Asyut,EG,2021-01-27 21:09:00,27.181,31.1837,55.4,54,0,5.75
185,Narsaq,GL,2021-01-27 21:08:10,60.9167,-46.05,37.4,32,75,34.52
186,Mestia,GE,2021-01-27 21:09:00,43.0458,42.7278,32.74,76,98,2.68
187,Three Hills,CA,2021-01-27 21:09:01,51.7001,-113.2686,8.6,85,100,9.22
188,Petropavlovsk-Kamchatskiy,RU,2021-01-27 21:09:01,53.0452,158.6483,8.6,66,0,11.18
189,Vao,NC,2021-01-27 21:08:32,-22.6667,167.4833,78.17,85,100,20.67
190,Lorengau,PG,2021-01-27 21:09:01,-2.0226,147.2712,82.15,79,100,7.67
